clade_name	TrimGalore/WM01_S1_R1_001_val_1.fq.gz	TrimGalore/WM02_S2_R1_001_val_1.fq.gz	TrimGalore/WM03_S3_R1_001_val_1.fq.gz	TrimGalore/WM04_S4_R1_001_val_1.fq.gz	TrimGalore/WM05_S5_R1_001_val_1.fq.gz	TrimGalore/WM11_S6_R1_001_val_1.fq.gz	TrimGalore/WM12_S7_R1_001_val_1.fq.gz	TrimGalore/WM13_S8_R1_001_val_1.fq.gz	TrimGalore/WM14_S9_R1_001_val_1.fq.gz	TrimGalore/WM15_S10_R1_001_val_1.fq.gz	TrimGalore/WM16_S11_R1_001_val_1.fq.gz	TrimGalore/WM17_S12_R1_001_val_1.fq.gz	TrimGalore/WM18_S13_R1_001_val_1.fq.gz	TrimGalore/WM19_S14_R1_001_val_1.fq.gz	TrimGalore/WM20_S15_R1_001_val_1.fq.gz	TrimGalore/WM21_S16_R1_001_val_1.fq.gz	TrimGalore/WM22_S17_R1_001_val_1.fq.gz	TrimGalore/WM23_S18_R1_001_val_1.fq.gz	TrimGalore/WM24_S19_R1_001_val_1.fq.gz
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__BACL27|s__BACL27 sp945862025	0.1239	0.0892	0.0	0.1147	0.2994	0.3352	0.2549	0.3252	0.4461	0.3586	0.8443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__BACL27|s__BACL27 sp945862025|t__GCA_945862025.1	0.1239	0.0892	0.0	0.1147	0.2994	0.3352	0.2549	0.3252	0.4461	0.3586	0.8443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__BACL27|s__BACL27 sp945885515	0.1172	0.0826	0.0	0.1268	0.4358	0.3188	0.2516	0.2915	0.3305	0.2815	0.4118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__BACL27|s__BACL27 sp945885515|t__GCA_945885515.1	0.1172	0.0826	0.0	0.1268	0.4358	0.3188	0.2516	0.2915	0.3305	0.2815	0.4118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Casp-actino8	0.2748	0.1336	0.2294999999999999	0.4654999999999999	0.478	0.6207	0.5987	0.3981999999999999	0.7336	0.6852999999999999	0.5566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Casp-actino8|s__Casp-actino8 sp009694465	0.0871	0.0664	0.1022	0.1704	0.183	0.272	0.2799	0.1851	0.3574	0.3503	0.2529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Casp-actino8|s__Casp-actino8 sp009694465|t__GCA_009694465.1	0.0871	0.0664	0.1022	0.1704	0.183	0.272	0.2799	0.1851	0.3574	0.3503	0.2529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Casp-actino8|s__Casp-actino8 sp945862545	0.0931	0.0	0.097	0.1556	0.165	0.2101	0.2285	0.1581	0.2857	0.2793	0.2026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Casp-actino8|s__Casp-actino8 sp945862545|t__GCA_945862545.1	0.0931	0.0	0.097	0.1556	0.165	0.2101	0.2285	0.1581	0.2857	0.2793	0.2026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Casp-actino8|s__Casp-actino8 sp945896935	0.0946	0.0672	0.0303	0.1395	0.13	0.1386	0.0903	0.055	0.0905	0.0557	0.1011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
