k	p	c	o	f	g	s	otu
k__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__	s__unknown	o__OTU1235
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Micavibrionales	f__unknown	g__unknown	s__unknown	o__OTU1237
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Fokiniaceae	g__MD3-55	s__unknown	o__OTU1238
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__unknown	s__unknown	o__OTU1239
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SC-I-84	g__unknown	s__unknown	o__OTU1242
k__Bacteria	p__Verrucomicrobiota	c__Chlamydiae	o__Chlamydiales	f__Parachlamydiaceae	g__unknown	s__unknown	o__OTU1243
k__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__0319-6G20	f__unknown	g__unknown	s__unknown	o__OTU12431
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Planctomycetales	f__Rubinisphaeraceae	g__unknown	s__unknown	o__OTU1246
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__unknown	s__unknown	o__OTU1247
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Hymenobacteraceae	g__Hymenobacter	s__Hymenobacter terrenus	o__OTU1248
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella worsleiensis	o__OTU1249
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__unknown	s__unknown	o__OTU1252
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Aquabacterium	s__Aquabacterium commune	o__OTU1253
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__	g__unknown	s__unknown	o__OTU12536
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__unknown	o__OTU126
k__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__unknown	g__unknown	s__unknown	o__OTU12601
k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__Ktedonobacterales	f__Ktedonobacteraceae	g__JG30a-KF-32	s__unknown	o__OTU12604
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingorhabdus	s__unknown	o__OTU1262
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU12625
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__	f__	g__Acidibacter	s__unknown	o__OTU12633
k__Bacteria	p__Chloroflexi	c__AD3	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU12644
k__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Blastocatellales	f__Blastocatellaceae	g__unknown	s__unknown	o__OTU1265
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__unknown	o__OTU1267
k__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__unknown	s__unknown	o__OTU1269
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__Lacihabitans	s__unknown	o__OTU127
k__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__Lineage IV	f__unknown	g__unknown	s__unknown	o__OTU1273
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__unknown	s__unknown	o__OTU1276
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__unknown	g__unknown	s__unknown	o__OTU1278
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Williamsia	s__unknown	o__OTU128
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__unknown	g__unknown	s__unknown	o__OTU1280
