	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19
OTU183	0	786	144	42	487	1181	6671	3562	2173	666	48	21	993	469	701	192	3092	20368	4666	2520
OTU184	1	2546	3925	474	730	1901	940	748	625	277	47	262	1212	3369	4351	3150	1811	15079	3819	3488
OTU185	0	18704	4172	857	5244	1333	927	3045	1201	2545	128	74	171	406	405	1889	864	4094	2052	638
OTU186	4	666	4	3976	193	134	151	434	373	405	7	78	2102	4420	2678	3202	3165	17700	5310	3366
OTU187	0	604	1060	2418	1900	2084	10127	13125	11722	3896	334	287	21	18	38	11	75	355	37	83
OTU188	0	1203	3212	3766	2442	3526	11762	9969	7143	3344	256	213	15	8	6	3	127	304	64	111
OTU189	1	1068	493	2399	490	627	1031	2535	1291	1053	94	65	478	1832	1873	3596	5918	13259	4551	4080
OTU190	0	630	2650	25	462	552	100	919	187	44	86	239	24	2618	547	115	19914	7694	831	8983
OTU191	0	48	3	2	28217	47	8218	984	2796	3972	615	568	10	137	95	59	1	228	462	14
OTU192	0	828	482	736	1754	2683	4032	6228	1891	2697	524	215	2376	1960	1572	1527	3280	7879	2983	2049
OTU193	0	650	634	3	198	1418	6968	21487	9736	3227	107	45	0	0	30	10	120	408	90	42
OTU194	0	1745	17601	133	1636	1928	5068	2376	709	1238	122	54	86	319	384	202	2095	6495	1996	836
OTU195	2	576	1722	104	294	598	1964	1608	1757	2820	50	39	862	561	467	167	3802	20858	5098	1634
OTU196	0	1088	1993	5798	3156	5685	9898	6121	6541	3325	465	895	6	0	2	0	7	0	2	0
OTU197	0	1340	777	5060	793	2125	5408	14678	11059	2425	306	202	10	23	15	29	125	397	80	68
OTU198	0	4700	7956	11865	4134	6485	3288	3215	1859	811	71	56	1	0	15	7	100	88	32	26
OTU199	0	1351	1593	8911	2785	2654	3003	3975	2125	2183	547	111	592	1016	1856	986	2289	5159	2315	1245
OTU200	0	1841	4	17	1266	522	10606	5958	20470	3475	76	410	9	0	3	11	7	6	3	6
OTU201	0	266	0	42	172	301	1297	3019	6141	1693	110	558	94	92	319	45	9783	15387	3288	1693
OTU202	194	5248	4577	3825	2883	4420	4219	8940	5958	2361	276	417	2	14	11	26	92	208	69	9
OTU203	4	3056	2	21326	700	10170	5204	657	663	900	108	13	32	100	7	36	113	244	66	51
OTU204	1	56	0	0	279	348	1114	625	139	2064	2	2	29	728	6	22	397	18531	11570	7167
OTU205	0	5250	1758	2	4317	966	95	24125	685	370	49	99	2	3381	715	1019	127	7	0	6
OTU206	2	1047	1256	9088	2105	2006	1992	3586	2210	2458	569	118	615	1314	1640	1158	2572	5059	2406	1396
OTU207	0	1354	2	19	1277	6428	4813	5131	5966	5121	135	47	22	73	108	271	129	6084	3522	1995
OTU208	71	6682	9563	3667	4597	3327	4860	4496	2443	1802	171	124	20	8	20	2	76	323	61	34
OTU209	0	11040	2631	1	6769	811	5787	4273	3920	3047	413	341	10	1576	404	167	191	68	23	0
OTU210	0	1081	635	464	504	1118	606	1614	840	425	9	11	192	149	217	69	4687	19796	4554	4369
OTU211	0	1515	3482	13	1100	724	18988	12270	1022	1173	38	11	4	2	1	6	0	316	61	17
OTU212	1	168	53	603	52	242	453	300	316	248	27	196	1586	1575	432	594	1899	20143	7645	3755
OTU213	0	5007	1692	38	778	1236	4984	578	1932	1687	82	140	362	1000	1197	1962	3075	9163	3223	2108
OTU214	0	863	0	18	113	5047	71	823	122	12	0	1	12	3	60	100	7694	20583	3906	609
OTU215	0	0	2	8	8	3	1043	9808	27830	1080	1	0	1	0	0	0	1	0	0	0
OTU216	0	910	896	6119	1461	1371	2884	2565	1498	1675	36	18	335	568	456	76	2067	12694	2283	1701
OTU217	401	1889	3218	27262	801	697	1195	1768	1291	429	44	94	12	7	13	37	80	81	44	19
OTU218	0	6639	3890	0	183	135	7486	5443	4262	49	20	20	1	1868	1426	4497	389	318	2071	162
